date;close;Change;Up;Down;Av up;Av down;Relative;RSI
2015-01-16;96.05;1.25;1.25;0;0.41875;0.98125;0.426751592;29.91071429
2015-01-19;96.65;0.6;0.6;0;0.436875;0.883125;0.494692144;33.09659091
2015-01-20;97.5;0.85;0.85;0;0.4781875;0.7948125;0.601635606;37.56382561
2015-01-21;98.5;1;1;0;0.53036875;0.71533125;0.74143098;42.57596131
2015-01-22;101.3;2.8;2.8;0;0.757331875;0.643798125;1.176349923;54.05150664
2015-01-23;100;-1.3;0;1.3;0.681598687;0.709418312;0.960785302;49.0000257
2015-01-26;101;1;1;0;0.713438819;0.638476481;1.117408142;52.77244948
2015-01-27;100.5;-0.5;0;0.5;0.642094937;0.624628833;1.027962372;50.68942038
2015-01-28;102.3;1.8;1.8;0;0.757885443;0.56216595;1.348152522;57.41332854
2015-01-29;100.5;-1.8;0;1.8;0.682096899;0.685949355;0.99438376;49.85919862
2015-01-30;99.9;-0.6;0;0.6;0.613887209;0.677354419;0.906301327;47.54239606
2015-02-02;99.85;-0.05;0;0.05;0.552498488;0.614618977;0.898928455;47.33872163
2015-02-03;101.2;1.35;1.35;0;0.632248639;0.55315708;1.142982098;53.33605441
2015-02-04;99.25;-1.95;0;1.95;0.569023775;0.692841372;0.821290123;45.09386575
2015-02-05;99.1;-0.15;0;0.15;0.512121398;0.638557235;0.801997644;44.50603178
2015-02-06;100.6;1.5;1.5;0;0.610909258;0.574701511;1.0630027;51.52696601
2015-02-09;99.6;-1;0;1;0.549818332;0.61723136;0.89078159;47.11181845
2015-02-10;99.75;0.15;0.15;0;0.509836499;0.555508224;0.917783891;47.85648138
2015-02-11;99.35;-0.4;0;0.4;0.458852849;0.539957402;0.849794535;45.93994193
2015-02-12;99.65;0.3;0.3;0;0.442967564;0.485961661;0.9115278;47.68582492
2015-02-13;101;1.35;1.35;0;0.533670808;0.437365495;1.220194125;54.95889351
2015-02-16;101.3;0.3;0.3;0;0.510303727;0.393628946;1.296408032;56.45373183
2015-02-17;100.9;-0.4;0;0.4;0.459273354;0.394266051;1.164881818;53.80810205
2015-02-18;101.3;0.4;0.4;0;0.453346019;0.354839446;1.277608856;56.0943049
2015-02-19;101.4;0.1;0.1;0;0.418011417;0.319355501;1.308921923;56.68974381
2015-02-20;101.2;-0.2;0;0.2;0.376210275;0.307419951;1.223766622;55.03125237
2015-02-23;102.1;0.9;0.9;0;0.428589248;0.276677956;1.549054553;60.76976859
2015-02-24;104;1.9;1.9;0;0.575730323;0.249010161;2.312075627;69.8074527
2015-02-25;103.6;-0.4;0;0.4;0.518157291;0.264109145;1.961905907;66.23795517
2015-02-26;104.7;1.1;1.1;0;0.576341562;0.23769823;2.424677548;70.80017064
2015-02-27;105.2;0.5;0.5;0;0.568707405;0.213928407;2.658400599;72.66565066
2015-03-02;106.1;0.9;0.9;0;0.601836665;0.192535566;3.125846701;75.76255076
2015-03-03;105.7;-0.4;0;0.4;0.541652998;0.21328201;2.539609408;71.74829523
2015-03-04;106.7;1;1;0;0.587487699;0.191953809;3.060568073;75.37290394
2015-03-05;105.7;-1;0;1;0.528738929;0.272758428;1.938487961;65.9688924
2015-03-06;105.4;-0.3;0;0.3;0.475865036;0.275482585;1.727386999;63.33486959
2015-03-09;105.2;-0.2;0;0.2;0.428278532;0.267934327;1.598445924;61.5154585
2015-03-10;105.7;0.5;0.5;0;0.435450679;0.241140894;1.805793584;64.35945945
2015-03-11;107.8;2.1;2.1;0;0.601905611;0.217026805;2.773415996;73.49881378
2015-03-12;106.6;-1.2;0;1.2;0.54171505;0.315324124;1.717962594;63.207735
2015-03-13;106.3;-0.3;0;0.3;0.487543545;0.313791712;1.55371709;60.84139453
2015-03-16;107.6;1.3;1.3;0;0.568789191;0.28241254;2.014036592;66.82190247
2015-03-17;107.1;-0.5;0;0.5;0.511910271;0.304171286;1.682967112;62.72783235
2015-03-18;107.8;0.7;0.7;0;0.530719244;0.273754158;1.938670991;65.97101196
2015-03-19;107.9;0.1;0.1;0;0.48764732;0.246378742;1.979258908;66.43460569
2015-03-20;111;3.1;3.1;0;0.748882588;0.221740868;3.37728717;77.15480019
2015-03-23;110.2;-0.8;0;0.8;0.673994329;0.279566781;2.410852701;70.68181808
2015-03-24;111.1;0.9;0.9;0;0.696594896;0.251610103;2.768548989;73.46458802
2015-03-25;110.1;-1;0;1;0.626935407;0.326449093;1.920469135;65.75892592
2015-03-26;104;-6.1;0;6.1;0.564241866;0.903804183;0.624296586;38.43488876
2015-03-27;102.3;-1.7;0;1.7;0.507817679;0.983423765;0.51637727;34.05335073
2015-03-30;103.6;1.3;1.3;0;0.587035911;0.885081389;0.663256418;39.87697933
2015-03-31;100.9;-2.7;0;2.7;0.52833232;1.06657325;0.495354933;33.1262446
2015-04-01;102.1;1.2;1.2;0;0.595499088;0.959915925;0.620365881;38.2855433
2015-04-02;102.6;0.5;0.5;0;0.585949179;0.863924332;0.67824132;40.41381367
2015-04-07;102.6;0;0;0;0.527354261;0.777531899;0.67824132;40.41381367
2015-04-08;101.3;-1.3;0;1.3;0.474618835;0.829778709;0.571982421;36.3860571
2015-04-09;102.2;0.9;0.9;0;0.517156952;0.746800838;0.69249648;40.91568214
2015-04-10;101.6;-0.6;0;0.6;0.465441257;0.732120754;0.635743836;38.86573324
2015-04-13;100.6;-1;0;1;0.418897131;0.758908679;0.55197304;35.56589103
2015-04-14;101.8;1.2;1.2;0;0.497007418;0.683017811;0.72766392;42.11837219
